Company,Year,Annual_accounts,Country_by_Country_Reports,Industry,Headquarter_country,Folder,Notes,New?
NN,2020,https://www.nn-group.com/investors/financial-reports-1.htm,https://www.nn-group.com/investors/financial-reports-1.htm,Insurance,NLD,Good,,
Nordgold,2020,https://www.nordgold.com/investors-and-media/results-and-reports/annual-technical/,,Metals and Mining,NLD,Good,,NEW February
Norsk Hydro,2018,https://www.hydro.com/de-DE/investoren/berichte-und-prasentationen/geschaftsberichte/annual-report-2018/,https://www.hydro.com/de-DE/investoren/berichte-und-prasentationen/geschaftsberichte/annual-report-2018/,Metals and Mining,NOR,Good,,
Norsk Hydro,2019,https://www.hydro.com/de-DE/investoren/berichte-und-prasentationen/geschaftsberichte/annual-report-2019/,https://www.hydro.com/de-DE/investoren/berichte-und-prasentationen/geschaftsberichte/annual-report-2019/,Metals and Mining,NOR,Good,,
Norsk Hydro,2020,https://www.hydro.com/de-DE/investoren/berichte-und-prasentationen/geschaftsberichte/annual-report-2020/,https://www.hydro.com/de-DE/investoren/berichte-und-prasentationen/geschaftsberichte/annual-report-2020/,Metals and Mining,NOR,Good,,
NTT,2020,https://group.ntt/en/csr/data/esg/pdf/sustainability_report_2020e_107-108.pdf,,,,,,April
,,,,,,,,
Omron,2019,https://sustainability.omron.com/en/governance/tax/,,,JPN,,,
Orica,2020,https://www.orica.com/Investor-Centre/company-reports,https://www.orica.com/Investor-Centre/company-reports,Metals and Mining,AUS,Good,,
Orsted,2020,https://orsted.com/en/investors/ir-material/financial-reports-and-presentations#financial-reports-presentations-and-fact-sheets-2020,https://orsted.com/en/investors/ir-material/financial-reports-and-presentations#financial-reports-presentations-and-fact-sheets-2020,Energy,DNK,Good,,
Palex,2020,Google,,Service,ESP,Bad,"Just operates in two countries, only two variables, below 750m",NEW February
Pearson,2019,https://plc.pearson.com/purpose/esg-reporting/,,Education,GBR,Good,,
Pearson,2020,https://plc.pearson.com/purpose/esg-reporting/,,Education,GBR,Good,,
Petropavlosk,2020,https://petropavlovskplc.com/investors/latest-annual-report/,,Metals and Mining,GBP,Bad,Only in one country,NEW February
Philipps,2020,https://www.results.philips.com/publications/ar20#downloads,https://www.results.philips.com/publications/ar20#downloads,Consumer goods,NLD,public CbCRs,,
Piaggio,2019,https://www.piaggiogroup.com/en/investor/financial-reports,,Automotives,ITA,Good,,NEW February
PLDT,2020,,,Telecommunications,PHL,Bad,Only one country,NEW February
Prisa,2020,https://www.prisa.com/en/datos/cuentas-anuales,,Media,ESP,Good,Only two variables but the most relevant ones,NEW February
Prudential,2016,https://www.prudentialplc.com/en/investors/reports/2016,https://www.prudentialplc.com/en/investors/reports/2016,Insurance,GBR,Bad,Major variables missing,
Prudential,2017,https://www.prudentialplc.com/en/investors/reports/2017,https://www.prudentialplc.com/en/investors/reports/2017,Insurance,GBR,Bad,Major variables missing,
Prudential,2018,https://www.prudentialplc.com/en/investors/reports/2018,https://www.prudentialplc.com/en/investors/reports/2018,Insurance,GBR,Good,,
Prudential,2019,https://www.prudentialplc.com/en/investors/reports/2019,https://www.prudentialplc.com/en/investors/reports/2019,Insurance,GBR,Good,,
Prudential,2020,https://www.prudentialplc.com/en/investors/reports/2020,https://www.prudentialplc.com/en/investors/reports/2020,Insurance,GBR,Good,,
Prysmian,2019,https://www.prysmiangroup.com/sites/default/files/Sustainability_report_and_consolidated_disclosure_of_non_financial_information_2020.pdf,,Industry,ITA,,,April
Prysmian,2020,https://www.prysmiangroup.com/sites/default/files/atoms/files/DNF_ENG%202021_15.03.2022_2.pdf,,Industry,ITA,,,April
RAK,2020,,,Oil and gas,NOR,Bad,Non CBCR format,
Randstad,2020,https://www.randstad.com/investor-relations/results-and-reports/annual-report-archive/,https://www.randstad.com/investor-relations/results-and-reports/annual-report-archive/,Service,NLD,Good,,
Red Electrica,2021,https://www.ree.es/en/shareholders-and-investors/financial-information/annual-accounts,,Telecommunications,ESP,Good,,NEW March
Repsol,2018,https://www.repsol.com/en/shareholders-and-investors/financial-information/annual-reports/archive/index.cshtml,,Oil and gas,ESP,public CbCRs,,
Repsol,2019,https://www.repsol.com/en/shareholders-and-investors/financial-information/annual-reports/archive/index.cshtml,https://www.repsol.com/en/sustainability/responsible-tax-policy/tax-contribution-by-country/index.cshtml,Oil and gas,ESP,public CbCRs,,
